t_ms,node_1_x,node_1_y,node_1_light
10124,99.5,74.8,1
10165,100.2,69.2,1
10206,100.2,62.8,1
10248,100.2,54.4,0
10289,100.2,45.9,0
10330,96.7,37.4,0
10371,90.4,33.9,0
10412,90.4,33.9,0
10452,87.5,33.9,1
10494,87.5,34.6,1
10536,86.1,38.1,1
10577,81.9,46.6,1
10618,76.2,55.1,1
10659,65.6,67.1,1
10700,62.1,80.5,1
10741,63.5,90.4,1
10783,67.1,90.4,1
10824,79.1,90.4,1
10865,90.4,91.1,1
10906,115.8,92.5,1
10947,125.6,93.2,1
10989,126.4,92.5,1
11030,131.3,94.6,1
11071,139.1,99.5,1
11112,148.9,105.9,1
11153,154.6,110.8,1
11194,156.0,123.5,1
11236,156.0,136.2,1
11277,155.3,148.2,1
11318,155.3,161.6,1
11359,155.3,171.5,1
11400,153.2,177.9,1
11441,150.4,180.0,1
11482,147.5,180.0,1
11523,140.5,180.0,1
11565,130.6,180.0,1
11606,119.3,180.0,1
11647,105.9,180.0,1
11688,93.2,180.0,1
11729,90.4,180.0,1
11770,90.4,180.0,1
11811,90.4,180.0,1
11851,90.4,174.4,1
11892,87.5,167.3,1
11933,81.9,158.8,1
11974,76.9,148.2,1
12015,71.3,135.5,1
12056,69.9,118.6,1
12097,70.6,101.6,1
12138,72.0,90.4,1
12180,77.6,88.9,1
12221,87.5,81.2,1
12262,90.4,74.8,1
12303,89.6,70.6,1
12344,91.8,66.4,0
12385,91.1,63.5,0
12426,91.8,60.0,0
12467,92.5,53.6,0
12508,93.2,45.9,0
12549,98.1,36.7,0
12591,106.6,30.4,0
12632,115.8,26.8,0
12673,127.1,26.8,0
12714,140.5,26.8,0
12756,148.2,28.2,0
12798,157.4,31.8,0
12839,166.6,34.6,0
12881,176.5,39.5,0
12922,180.0,44.5,0
12963,180.0,47.3,0
13004,180.0,52.2,0
13045,180.0,55.8,0
13086,180.0,62.1,0
13127,180.0,69.2,1
13168,180.0,78.4,1
13209,180.0,87.5,1
13251,180.0,90.4,1
13292,175.8,90.4,1
13333,170.8,90.4,1
13374,167.3,89.6,1
13415,161.6,93.9,1
13456,154.6,102.4,1
13498,144.0,110.8,1
13539,133.4,118.6,1
13580,121.4,121.4,1
13621,108.7,120.7,1
13662,94.6,115.1,1
13703,90.4,100.9,1
13744,90.4,90.4,1
13785,90.4,79.8,1
13827,93.2,62.1,1
13868,93.2,48.7,1
13909,93.2,36.7,1
13951,93.2,30.4,0
13992,93.9,27.5,0
14033,96.7,23.3,0
14074,106.6,21.2,0
14116,117.9,19.1,0
14157,128.5,19.1,0
14198,129.9,19.8,0
14239,129.2,23.3,0
14281,125.6,33.9,0
14322,117.9,48.7,0
14363,106.6,65.6,0
14404,93.2,88.9,0
14445,90.4,90.4,0
14486,90.4,90.4,0
14527,90.4,90.4,0
14567,90.4,90.4,0
14608,90.4,90.4,0
14648,90.4,90.4,0
14689,90.4,90.4,0
14729,90.4,90.4,0
14770,90.4,90.4,0
14810,90.4,90.4,0
14851,90.4,90.4,0
14892,90.4,90.4,0
14932,90.4,90.4,0
14973,90.4,90.4,0
15013,90.4,90.4,0
15054,90.4,90.4,0
15094,90.4,90.4,0
15135,90.4,90.4,0
15176,90.4,90.4,0
15216,90.4,90.4,0
15257,90.4,90.4,0
15297,90.4,90.4,0
15338,90.4,90.4,0
15379,90.4,90.4,0
15419,90.4,90.4,0
15460,90.4,90.4,0
15500,90.4,90.4,0
15541,90.4,90.4,0
15582,90.4,90.4,0
15622,90.4,90.4,0
15663,90.4,90.4,0
15703,90.4,90.4,0
15744,90.4,90.4,0
